date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:59:32	104115/104115	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Feb%202023%2016:27:57%20GMT	https://temeats.com/	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/index.html	(from )
11:59:33	107/107	---M-Z	200	added ('OK')	text/plain	date:Tue,%2007%20Feb%202023%2017:59:35%20GMT	https://temeats.com/robots.txt		(from )
11:59:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2007%20Feb%202023%2017:59:35%20GMT	http://fonts.googleapis.com/css?family=EB+Garamond&display=auto	C:/My%20Web%20Sites/https___temeats.com_/fonts.googleapis.com/css.0c533.delayed	(from https://temeats.com/)
11:59:33	7633/7633	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2019:20:05%20GMT	https://temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/css/grid.css?ver=1673292005	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/css/gridf08d.css	(from https://temeats.com/)
11:59:33	15722/15722	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2019:20:05%20GMT	https://temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/css/base.css?ver=1673292005	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/css/basef08d.css	(from https://temeats.com/)
11:59:34	72959/72959	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2019:20:05%20GMT	https://temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/css/layout.css?ver=1673292005	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/css/layoutf08d.css	(from https://temeats.com/)
11:59:34	1040/1040	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2019:20:05%20GMT	https://temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/audio-player/audio-player.css?ver=1673292005	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/audio-player/audio-playerf08d.css	(from https://temeats.com/)
11:59:34	29399/29399	---M-Z	200	added ('OK')	application/rss+xml	date:Thu,%2004%20Nov%202021%2016:48:19%20GMT	https://temeats.com/feed/	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/feed/index.html	(from https://temeats.com/)
11:59:34	18716/18716	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2019:20:05%20GMT	https://temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/blog/blog.css?ver=1673292005	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/blog/blogf08d.css	(from https://temeats.com/)
11:59:34	3074/3074	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Jan%202023%2019:20:05%20GMT	https://temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/postslider/postslider.css?ver=1673292005	C:/My%20Web%20Sites/https___temeats.com_/temeats.com/wp-content/cache/min/1/wp-content/themes/enfold/config-templatebuilder/avia-shortcodes/postslider/postsliderf08d.css	(from https://temeats.com/)
